Host_Time_s,Raw_Data_Line
1765390590.082971,0
1765390590.111722,0
1765390590.112788,37
1765390590.115859,0
1765390590.143298,37
1765390590.143339,0
1765390590.143619,73
1765390590.171238,0
1765390590.173016,0
1765390590.173044,16
1765390590.201443,0
1765390590.202943,0
1765390590.202980,0
1765390590.231718,1
1765390590.232754,18
1765390590.235037,14
1765390590.263809,20
1765390590.263829,0
1765390590.263939,32
1765390590.293023,0
1765390590.293066,41
1765390590.293214,0
1765390590.321457,0
1765390590.322998,6
1765390590.323043,48
1765390590.351243,0
1765390590.353745,0
1765390590.353786,7
1765390590.384065,31
1765390590.384126,64
1765390590.384327,18
1765390590.413814,0
1765390590.414120,8
1765390590.414197,11
1765390590.443247,0
1765390590.443288,0
1765390590.443320,11
1765390590.471312,41
1765390590.473066,0
1765390590.473107,0
1765390590.501159,47
1765390590.503076,5
1765390590.503123,7
1765390590.531636,4
1765390590.532677,0
1765390590.535848,0
1765390590.563941,0
1765390590.564021,75
1765390590.564091,10
1765390590.592963,17
1765390590.593006,35
1765390590.595622,0
1765390590.623856,0
1765390590.623914,21
1765390590.624179,0
1765390590.653197,0
1765390590.653515,25
1765390590.653599,0
1765390590.681291,26
1765390590.683141,0
1765390590.683187,88
1765390590.711222,8
1765390590.713839,35
1765390590.713893,0
1765390590.743872,2
1765390590.743962,11
1765390590.744166,13
1765390590.773157,6
1765390590.773199,11
1765390590.773432,18
1765390590.801452,8
1765390590.802999,0
1765390590.803045,44
1765390590.831070,0
1765390590.832894,0
1765390590.832935,0
1765390590.860975,18
1765390590.863174,0
1765390590.863214,20
1765390590.891206,20
1765390590.892851,0
1765390590.921061,0
1765390590.923001,0
1765390590.923040,0
1765390590.951405,0
1765390590.953487,57
1765390590.953507,0
1765390590.981261,68
1765390590.983153,12
1765390590.983203,3
1765390591.011239,33
1765390591.013003,14
1765390591.013053,31
1765390591.041187,0
1765390591.043128,0
1765390591.043172,12
1765390591.071183,48
1765390591.072957,0
1765390591.073006,8
1765390591.101199,0
1765390591.103115,35
1765390591.103160,0
1765390591.131092,0
1765390591.132914,0
1765390591.132956,13
1765390591.161067,0
1765390591.163083,0
1765390591.163181,14
1765390591.191232,0
1765390591.192997,0
1765390591.193081,14
1765390591.223174,33
1765390591.223417,77
1765390591.223443,0
1765390591.251321,0
1765390591.253777,14
1765390591.253891,55
1765390591.284012,0
1765390591.284146,0
1765390591.284159,0
1765390591.314066,17
1765390591.314120,71
1765390591.314290,47
1765390591.344066,60
1765390591.344152,48
1765390591.344377,16
1765390591.373308,1
1765390591.373363,0
1765390591.373557,32
1765390591.401155,0
1765390591.403101,0
1765390591.403132,7
1765390591.431113,0
1765390591.433689,0
1765390591.433729,0
1765390591.463158,5
1765390591.463514,0
1765390591.463544,0
1765390591.491517,22
1765390591.492890,76
1765390591.493115,32
1765390591.521137,38
1765390591.523039,68
1765390591.523080,0
1765390591.551285,0
1765390591.553743,0
1765390591.553787,0
1765390591.583216,0
1765390591.583248,0
1765390591.583490,56
1765390591.611416,0
1765390591.612916,21
1765390591.613001,13
1765390591.641109,0
1765390591.643042,0
1765390591.643080,0
1765390591.671125,6
1765390591.672984,0
1765390591.673288,0
1765390591.701246,23
1765390591.702746,0
1765390591.702909,0
1765390591.731034,11
1765390591.732865,6
1765390591.732913,0
1765390591.760968,8
1765390591.762930,0
1765390591.763085,0
1765390591.790845,0
1765390591.792867,0
1765390591.792905,0
1765390591.820868,2
1765390591.822983,0
1765390591.823019,0
1765390591.850896,5
1765390591.852890,0
1765390591.852937,0
1765390591.881242,1
1765390591.883107,0
1765390591.883149,14
1765390591.911169,52
1765390591.912948,17
1765390591.912977,20
1765390591.941188,2
1765390591.943947,17
1765390591.943987,0
1765390591.974004,0
1765390591.974338,0
1765390591.974374,0
1765390592.003136,0
1765390592.003356,4
1765390592.003491,0
1765390592.031171,0
1765390592.032921,0
1765390592.032970,54
1765390592.061363,0
1765390592.063141,0
1765390592.063173,29
1765390592.091645,23
1765390592.092936,0
1765390592.092990,0
1765390592.121367,12
1765390592.122971,0
1765390592.123015,65
1765390592.151578,0
1765390592.152990,80
1765390592.153112,0
1765390592.181218,63
1765390592.182942,90
1765390592.182965,19
1765390592.211304,30
1765390592.212977,0
1765390592.213029,0
1765390592.241160,0
1765390592.243044,20
1765390592.243091,9
1765390592.271590,0
1765390592.274790,13
1765390592.274822,0
1765390592.303184,15
1765390592.303340,58
1765390592.303375,70
1765390592.331109,0
1765390592.332859,2
1765390592.332906,25
1765390592.361242,0
1765390592.363931,11
1765390592.364009,0
1765390592.393844,6
1765390592.393885,0
1765390592.394084,0
1765390592.423786,0
1765390592.423861,0
1765390592.424092,0
1765390592.453828,0
1765390592.453868,6
1765390592.454004,0
1765390592.483913,0
1765390592.483946,0
1765390592.484121,38
1765390592.514337,0
1765390592.514427,60
1765390592.514620,25
1765390592.543968,31
1765390592.544197,25
1765390592.544385,7
1765390592.573954,0
1765390592.574204,0
1765390592.574393,0
1765390592.603078,11
1765390592.603130,42
1765390592.603360,0
1765390592.631210,20
1765390592.632779,33
1765390592.632830,13
1765390592.661385,14
1765390592.663141,0
1765390592.663184,13
1765390592.691792,0
1765390592.692959,0
1765390592.693002,0
1765390592.721162,0
1765390592.722989,0
1765390592.723031,53
1765390592.751164,0
1765390592.752952,0
1765390592.753006,8
1765390592.781367,12
1765390592.783108,26
1765390592.783232,7
1765390592.811297,11
1765390592.813040,9
1765390592.813084,7
1765390592.841261,1
1765390592.843170,27
1765390592.843214,0
1765390592.871761,0
1765390592.873755,27
1765390592.873796,20
1765390592.903207,1
1765390592.903430,0
1765390592.903634,0
1765390592.931160,0
1765390592.933007,0
1765390592.933108,0
1765390592.961280,9
1765390592.963155,0
1765390592.963198,13
1765390592.991502,31
1765390592.992939,9
1765390592.993109,0
1765390593.021202,0
1765390593.023087,67
1765390593.023125,0
1765390593.051168,0
1765390593.053041,15
1765390593.053083,32
1765390593.081447,0
1765390593.083171,0
1765390593.083210,76
1765390593.111300,53
1765390593.113022,0
1765390593.113076,21
1765390593.141223,0
1765390593.143086,0
1765390593.143127,0
1765390593.171229,0
1765390593.172968,16
1765390593.172997,34
1765390593.201228,0
1765390593.203090,0
1765390593.203133,0
1765390593.231499,47
1765390593.232958,0
1765390593.233010,51
1765390593.261238,0
1765390593.263113,0
1765390593.263155,32
1765390593.291787,0
1765390593.294064,3
1765390593.294115,0
1765390593.323275,14
1765390593.323306,0
1765390593.323331,45
1765390593.351184,35
1765390593.352972,26
1765390593.353025,22
1765390593.381251,0
1765390593.383347,68
1765390593.383363,67
1765390593.411264,55
1765390593.412983,0
1765390593.413042,0
1765390593.441240,30
1765390593.443267,13
1765390593.443302,0
1765390593.471244,45
1765390593.473025,0
1765390593.473069,0
1765390593.501033,0
1765390593.503108,0
1765390593.503148,10
1765390593.531133,0
1765390593.532902,0
1765390593.533020,42
1765390593.561423,0
1765390593.563171,0
1765390593.563212,0
1765390593.593897,16
1765390593.593941,0
1765390593.594186,0
1765390593.623214,4
1765390593.623267,51
1765390593.623485,0
1765390593.681425,0
1765390593.683718,0
1765390593.683769,8
1765390593.687020,0
1765390593.687152,0
1765390593.687385,0
1765390593.714228,0
1765390593.714267,0
1765390593.714473,43
1765390593.743432,10
1765390593.743488,84
1765390593.743516,0
1765390593.773426,0
1765390593.773468,0
1765390593.773764,24
1765390593.804179,0
1765390593.804253,13
1765390593.804497,0
1765390593.833313,0
1765390593.833560,12
1765390593.833762,59
1765390593.863338,22
1765390593.863388,25
1765390593.863530,1
1765390593.894262,8
1765390593.894311,40
1765390593.894525,0
1765390593.923250,49
1765390593.923300,0
1765390593.923531,25
1765390593.951418,0
1765390593.953165,0
1765390593.953208,0
1765390593.981657,0
1765390593.983336,53
1765390593.983376,0
1765390594.011871,0
1765390594.013073,39
1765390594.013089,30
1765390594.043342,44
1765390594.043594,0
1765390594.043626,14
1765390594.071302,0
1765390594.073181,25
1765390594.073228,17
1765390594.101296,0
1765390594.103231,0
1765390594.103263,79
1765390594.131243,0
1765390594.133090,0
1765390594.133211,26
1765390594.161477,0
1765390594.163075,0
1765390594.163116,31
1765390594.191554,0
1765390594.193055,59
1765390594.193099,34
1765390594.221420,17
1765390594.223095,0
1765390594.223140,3
1765390594.251230,21
1765390594.253098,21
1765390594.253141,27
1765390594.281470,0
1765390594.283266,0
1765390594.283295,0
1765390594.313463,36
1765390594.313509,27
1765390594.313550,0
1765390594.341378,46
1765390594.343358,0
1765390594.343405,0
1765390594.371882,0
1765390594.373130,0
1765390594.373382,0
1765390594.401315,34
1765390594.404126,44
1765390594.404172,0
1765390594.433308,0
1765390594.433347,24
1765390594.433595,0
1765390594.463414,20
1765390594.463460,4
1765390594.463611,0
1765390594.493259,0
1765390594.493348,0
1765390594.493595,0
1765390594.524052,0
1765390594.524098,46
1765390594.524317,0
1765390594.553263,0
1765390594.553310,0
1765390594.553496,0
1765390594.583263,0
1765390594.583672,0
1765390594.583704,0
1765390594.611282,19
1765390594.613102,0
1765390594.613146,2
1765390594.641273,0
1765390594.643674,0
1765390594.643714,0
1765390594.701715,0
1765390594.703332,65
1765390594.703374,0
1765390594.703623,44
1765390594.731264,45
1765390594.733264,5
1765390594.733311,23
1765390594.733508,0
1765390594.733761,27
1765390594.761221,43
1765390594.763174,24
1765390594.763219,0
1765390594.791519,0
1765390594.793720,0
1765390594.793764,17
1765390594.823331,0
1765390594.823377,0
1765390594.823560,0
1765390594.851060,10
1765390594.853192,6
1765390594.853235,0
1765390594.881322,55
1765390594.883329,8
1765390594.883378,4
1765390594.913719,4
1765390594.913770,0
1765390594.914005,19
1765390594.943486,0
1765390594.943536,13
1765390594.943744,18
1765390594.973673,0
1765390594.973857,44
1765390594.974025,0
1765390595.001406,0
1765390595.003368,0
1765390595.003415,10
1765390595.031282,0
1765390595.033170,25
1765390595.033213,0
1765390595.061395,31
1765390595.063580,0
1765390595.063624,0
1765390595.093315,0
1765390595.093413,40
1765390595.093644,0
1765390595.121386,0
1765390595.123214,0
1765390595.123249,19
1765390595.151291,14
1765390595.153040,0
1765390595.153096,44
1765390595.181020,146
1765390595.182924,0
1765390595.183022,0
1765390595.211081,64
1765390595.212836,31
1765390595.212844,48
1765390595.241025,0
1765390595.242974,0
1765390595.243027,0
1765390595.270993,22
1765390595.272800,0
1765390595.272891,15
1765390595.301327,3
1765390595.302802,95
1765390595.302813,0
1765390595.331646,11
1765390595.334200,17
1765390595.334307,15
1765390595.363535,0
1765390595.363878,35
1765390595.364061,0
1765390595.391591,10
1765390595.393169,0
1765390595.393231,0
1765390595.421249,0
1765390595.423224,10
1765390595.423283,0
1765390595.451042,0
1765390595.453131,0
1765390595.453178,57
1765390595.481330,0
1765390595.483287,96
1765390595.483336,0
1765390595.513283,26
1765390595.513337,0
1765390595.513628,70
1765390595.541414,12
1765390595.543372,77
1765390595.543417,0
1765390595.571356,122
1765390595.573271,2
1765390595.573321,7
1765390595.603417,48
1765390595.603678,44
1765390595.603721,0
1765390595.633429,33
1765390595.633468,0
1765390595.633744,61
1765390595.663382,55
1765390595.663471,154
1765390595.663684,59
1765390595.693275,100
1765390595.693321,122
1765390595.693572,197
1765390595.721282,148
1765390595.723195,206
1765390595.723224,222
1765390595.753299,275
1765390595.753348,200
1765390595.753624,287
1765390595.781354,210
1765390595.783463,351
1765390595.783500,214
1765390595.811366,350
1765390595.813230,284
1765390595.813249,352
1765390595.841368,328
